onetsoc_code,title,job_zone,routine_cognitive_tasks,manual_tasks,social_tasks,nonroutine_cognitive_tasks,risk_score,risk_label
17-2199.11,Solar Energy Systems Engineers,4.0,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.6923076923076923,1,Low Risk
17-3011.00,Architectural and Civil Drafters,3.0,0.32142857142857145,0.10714285714285714,0.07142857142857142,0.4642857142857143,1,Low Risk
17-3012.00,Electrical and Electronics Drafters,3.0,0.13333333333333333,0.23333333333333334,0.06666666666666667,0.4,1,Low Risk
17-3013.00,Mechanical Drafters,3.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.5333333333333333,0,Low Risk
17-3019.00,"Drafters, All Other",,0.0,0.0,0.0,0.0,2,Moderate Risk
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,3.0,0.18181818181818182,0.36363636363636365,0.0,0.36363636363636365,1,Low Risk
17-3022.00,Civil Engineering Technologists and Technicians,3.0,0.14285714285714285,0.07142857142857142,0.0,0.5714285714285714,1,Low Risk
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,3.0,0.16666666666666666,0.3,0.03333333333333333,0.4,1,Low Risk
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,3.0,0.17857142857142858,0.32142857142857145,0.03571428571428571,0.2857142857142857,1,Low Risk
17-3024.01,Robotics Technicians,3.0,0.13636363636363635,0.36363636363636365,0.045454545454545456,0.22727272727272727,1,Low Risk
17-3025.00,Environmental Engineering Technologists and Technicians,4.0,0.34615384615384615,0.23076923076923078,0.11538461538461539,0.2692307692307692,0,Low Risk
17-3026.00,Industrial Engineering Technologists and Technicians,3.0,0.3,0.13333333333333333,0.03333333333333333,0.43333333333333335,1,Low Risk
17-3026.01,Nanotechnology Engineering Technologists and Technicians,4.0,0.48,0.2,0.08,0.2,3,High Risk
17-3027.00,Mechanical Engineering Technologists and Technicians,3.0,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.5666666666666667,0,Low Risk
17-3027.01,Automotive Engineering Technicians,3.0,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,1,Low Risk
17-3028.00,Calibration Technologists and Technicians,3.0,0.0,0.2,0.0,0.26666666666666666,1,Low Risk
17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",,0.0,0.0,0.0,0.0,2,Moderate Risk
17-3029.01,Non-Destructive Testing Specialists,2.0,0.0625,0.125,0.0,0.3125,2,Moderate Risk
17-3029.08,Photonics Technicians,3.0,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.2916666666666667,2,Moderate Risk
